ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
73164,Tams Madarsz,M,25.0,190.0,90.0,Hungary,HUN,2012 Summer,2012,Summer,London,Judo,Judo Men's Middleweight,
73173,Giuseppe Maddaloni,M,24.0,172.0,81.0,Italy,ITA,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Lightweight,Gold
73173,Giuseppe Maddaloni,M,32.0,172.0,81.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Middleweight,
73186,Edson Marcelo da Silva Madeira,M,23.0,178.0,66.0,Mozambique,MOZ,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Lightweight,
73208,Mohamed Shies Madhar,M,21.0,167.0,59.0,Suriname,SUR,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Extra-Lightweight,
73208,Mohamed Shies Madhar,M,25.0,167.0,59.0,Suriname,SUR,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Extra-Lightweight,
73239,Orlando Madrigal Valverde,M,43.0,163.0,78.0,Costa Rica,CRC,1964 Summer,1964,Summer,Tokyo,Judo,Judo Men's Middleweight,
73283,"Victor ""Bito"" Maduro",M,24.0,175.0,86.0,Aruba,ARU,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Middleweight,
73287,Willem Maduro,M,,,,Netherlands Antilles,AHO,1976 Summer,1976,Summer,Montreal,Judo,Judo Men's Half-Heavyweight,
73297,Echiko Maeda (-Tamura),F,24.0,175.0,64.0,Japan,JPN,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Women's Volleyball,Gold
73298,Kayono Maeda,F,21.0,165.0,63.0,Japan,JPN,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Sprint,
73299,Keiko Maeda,F,20.0,161.0,63.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Half-Middleweight,
73300,Masayasu Maeda,M,22.0,167.0,,Japan,JPN,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,
73301,Miyuki Maeda,F,22.0,169.0,61.0,Japan-1,JPN,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Women's Doubles,
73301,Miyuki Maeda,F,26.0,169.0,61.0,Japan-2,JPN,2012 Summer,2012,Summer,London,Badminton,Badminton Women's Doubles,
73302,Mutsuhiko Maeda,M,20.0,168.0,65.0,Japan,JPN,1968 Winter,1968,Winter,Grenoble,Speed Skating,"Speed Skating Men's 1,500 metres",
73302,Mutsuhiko Maeda,M,20.0,168.0,65.0,Japan,JPN,1968 Winter,1968,Winter,Grenoble,Speed Skating,"Speed Skating Men's 5,000 metres",
73302,Mutsuhiko Maeda,M,24.0,168.0,65.0,Japan,JPN,1972 Winter,1972,Winter,Sapporo,Speed Skating,"Speed Skating Men's 1,500 metres",
73303,Rikutoshi Maeda,M,33.0,164.0,57.0,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
73303,Rikutoshi Maeda,M,33.0,164.0,57.0,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
73307,Hideaki Maeguchi,M,23.0,177.0,73.0,Japan,JPN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Fours,
